date,powerusage,weekday,day_name,weekday_status,hour,month,season,날짜,MEF,min_cutoff,max_cutoff,변화율_100이상_주중,변화율_100미만_주중,변화율_100이상_주말,변화율_100미만_주말,최대제한,최소제한,optimized_powerusage,MEF_CO2
2021-06-01 00:00:00,45.086444257132605,1,Tuesday,O,0,6,여름,2021-06-01,0.6251836583529149,17.892494691736516,60.50368197287341,137.60398490554618,83.7860702193668,198.94144245814655,54.63693504819648,62.040743950032244,37.7761598446968,60.5036819728741,9.638605076823804
2021-06-01 01:00:00,44.01934001921542,1,Tuesday,O,1,6,여름,2021-06-01,0.7294528407870156,17.98062403761645,59.559463688046094,135.93130707720113,84.1592839235162,211.83200833432875,52.048770950767064,59.836064254877,37.04636134802949,53.02131494519234,6.566516182447346
2021-06-01 02:00:00,42.27069665709193,1,Tuesday,O,2,6,여름,2021-06-01,0.6914561181020499,17.468956681372013,57.933907309305624,134.90483621890726,84.39738018823311,233.16801855967157,48.61493437510907,57.02521409384098,35.675360565900625,45.61294173462579,2.311015807057248
2021-06-01 03:00:00,40.3306068454807,1,Tuesday,O,3,6,여름,2021-06-01,0.702443468992863,16.8359457489127,56.11705039892819,133.8227097057579,84.69078227639892,265.9012455022521,44.78264517541713,53.971510921398156,34.1563064342565,39.14027669624127,-0.836139639278537
2021-06-01 04:00:00,39.90212314270196,1,Tuesday,O,4,6,여름,2021-06-01,0.7965889183390187,17.772575670742278,55.8118907972459,130.42944573684355,85.74605691184269,280.12378341354867,43.49617134566877,52.044118052258945,34.21449721897478,39.140276696241294,-0.6068784367265271
2021-06-01 05:00:00,42.63156729631646,1,Tuesday,O,5,6,여름,2021-06-01,0.8007976594798965,21.91280579301398,58.66469600346941,124.1387419272144,87.95286568678844,239.84569741336534,47.67291282768765,52.92229130550102,37.49568512430204,39.140276696241195,-2.795817341104437
2021-06-01 06:00:00,48.840439291391206,1,Tuesday,O,6,6,여름,2021-06-01,0.754705385694559,29.565615547029118,64.99691229643419,116.35847059509197,90.12886728521136,193.39161979411003,55.67792476589948,56.82998819138718,44.019334710452206,40.92664859601693,-5.972580459058454
2021-06-01 07:00:00,57.206516283242415,1,Tuesday,O,7,6,여름,2021-06-01,0.7319069610924741,39.3962397118915,73.48626373846236,111.33598076570857,92.36654260948005,164.63148041189518,63.56585921733509,63.69143596584272,52.839681238160246,43.84447541381203,-9.779770726738235
2021-06-01 08:00:00,65.51463336491204,1,Tuesday,O,8,6,여름,2021-06-01,0.7287282325679465,48.987403813009365,81.91753301178389,108.37429923523193,94.1994670524023,148.83364078811815,69.4296868769971,71.00102480575488,61.71443547108248,48.987403813008456,-12.043858780603436
2021-06-01 09:00:00,71.79809953432144,1,Tuesday,O,9,6,여름,2021-06-01,0.7245041380452633,56.45440882533439,88.32397745260204,106.10199955742365,95.161253282766,140.2692158062873,73.24640668604599,76.17921925014433,68.32397135006806,58.58449445251458,-9.573311560264985
2021-06-01 10:00:00,75.07370525007549,1,Tuesday,O,10,6,여름,2021-06-01,0.7532204555117537,60.240542860814244,91.722336671154,104.80256969955165,95.93763923985638,135.67135533602885,75.54888445365337,78.67917227074634,72.02394050681055,67.11571248255996,-5.994122937307292
2021-06-01 11:00:00,75.39768339813385,1,Tuesday,O,11,6,여름,2021-06-01,0.6018662896659408,61.10182585169521,92.16879358115838,103.82960620961904,96.34705758214741,133.29386104768366,76.86243797873122,78.28511776345769,72.64344943920523,74.11691941834866,-0.7708486644510975
2021-06-01 12:00:00,73.53525203931972,1,Tuesday,O,12,6,여름,2021-06-01,0.7401835753337409,59.79508739008821,90.42851720666587,103.05020902622691,96.52316716007694,132.08882413392666,77.6254903263976,75.77823093448175,70.97855424749645,70.99760338561255,-1.8783258534418241
2021-06-01 13:00:00,70.62750771976376,1,Tuesday,O,13,6,여름,2021-06-01,0.6794194464430892,57.453158582585644,87.64255604974502,102.57313629843743,96.92061489957493,131.21420703707224,78.2595566417135,72.4448497575827,68.45261477023978,75.28996356996292,3.1677631728076596
2021-06-01 14:00:00,67.91787746268785,1,Tuesday,O,14,6,여름,2021-06-01,0.6471473445587197,55.31143043976574,85.05429013689717,102.43207792859685,97.45278978303097,129.81450426489883,79.21948103085593,69.56969317002934,66.18786634880976,79.93045416009298,7.77390711103368
2021-06-01 15:00:00,66.35838202293534,1,Tuesday,O,15,6,여름,2021-06-01,0.5902011919556435,54.238376670375786,83.68871724552586,102.39838855824837,97.77242236413805,127.244222632446,80.87162298479282,67.94991386481217,64.8801975454726,70.10208668379993,2.209538953172173
2021-06-01 16:00:00,66.08928123343493,1,Tuesday,O,16,6,여름,2021-06-01,0.7566326624690409,54.28694962365506,83.87854499327946,102.20304282283712,97.65691908306421,125.78735250163766,84.23436933404538,67.54525640031275,64.54075589671429,62.807595513444426,-2.483030603703048
2021-06-01 17:00:00,66.16581659705619,1,Tuesday,O,17,6,여름,2021-06-01,0.8318618459977318,54.67704614639041,84.65459344848053,102.38785963996553,97.54404462200257,121.80683582162503,86.49112633995898,67.74576342703091,64.54081366594488,56.59957093553422,-7.957794775261464
2021-06-01 18:00:00,64.96976481738936,1,Tuesday,O,18,6,여름,2021-06-01,0.8741495642112458,53.78902189746168,84.37435980506513,102.6196722213579,97.0500307769332,120.08288390015467,89.35619702721411,66.67175969859207,63.05317675097749,61.2364012687146,-3.263518119116191
2021-06-01 19:00:00,61.25844039281562,1,Tuesday,O,19,6,여름,2021-06-01,0.6751415992354968,50.3789738779664,81.48897762577168,103.18111500704677,96.5617199228498,119.54677244636164,91.28439980612602,63.20714183323428,59.15220364121651,63.86198114689895,1.757758668386608
2021-06-01 20:00:00,55.1545209738067,1,Tuesday,O,20,6,여름,2021-06-01,0.5744610036438863,44.568551364375764,76.11817293196432,103.87134726127655,95.7745645718531,122.63883351725582,93.08743348177545,57.289744010996365,52.824002304354764,63.88483758305875,5.015226441479823
